BNE;PER;73H;5:20;7:30;11:50
BNE;RMA;DH3;1:15;6:45;8:0
BNE;ROK;DH3;1:25;9:45;11:10
BNE;SIN;333;7:50;13:40;19:30
BNE;SYD;734;1:30;8:45;11:15
BNE;TSV;734;2:0;6:45;8:45
BNE;WLG;733;3:29;17:30;23:59
BNE;ZBL;DH3;1:15;5:55;7:10
BOD;LGW;734;1:30;16:50;17:20
BOD;MAD;CR2;1:15;7:5;8:20
BOG;BCN;340;13:10;18:0;13:10
BOG;MAD;340;9:44;19:1;10:45
BOG;MIA;757;3:40;15:30;19:10
BOG;SCL;763;5:40;11:10;18:50
BOM;BKK;744;3:55;5:20;10:45
BOM;DXB;744;3:0;19:45;21:15
BOM;HEL;M11;8:20;9:15;14:5
BOM;HKG;343;5:25;7:40;15:35
BOM;LHR;744;9:45;2:40;6:55
BOM;SYD;332;12:20;19:35;13:25
BON;SJU;AT7;2:1;8:34;10:35
BOS;AUA;757;4:45;10:25;16:10
BOS;AUS;M80;6:40;14:15;19:55
BOS;BCN;340;9:20;18:30;9:50
BOS;BGI;757;8:0;5:35;14:35
BOS;BNA;ER3;4:5;8:50;11:55
BOS;CMH;ER3;2:20;17:15;19:35
BOS;DCA;ER3;1:40;8:50;10:30
BOS;DEN;M83;7:30;16:55;22:25
BOS;DFW;757;4:15;20:10;23:25
BOS;IAH;M80;6:40;6:45;12:25
BOS;JFK;ER3;1:10;12:45;13:55
BOS;LAX;757;6:25;7:45;11:10
BOS;LGA;ER3;1:15;8:0;9:15
BOS;LHR;763;6:30;18:55;6:25
BOS;MAD;340;6:50;18:30;7:20
BOS;MIA;757;3:25;5:35;9:0
BOS;ORD;757;2:50;8:30;10:20
BOS;PLS;757;3:20;11:5;14:25
BOS;RDU;ER3;2:5;12:0;14:5
BOS;SAL;757;7:25;6:40;13:5
BOS;SDQ;757;3:55;11:45;16:40
BOS;SFO;757;6:45;18:35;22:20
BOS;SJC;M83;8:40;6:0;11:40
BOS;SJO;757;9:30;13:35;22:5
BOS;SJU;757;3:45;11:55;16:40
BOS;SLC;M80;7:25;16:45;22:10
BOS;STL;M80;3:10;18:20;20:30
BOS;STT;757;3:50;9:5;13:55
BOS;YYZ;ER3;1:59;19:0;20:59
BRC;AEP;320;2:0;0:30;3:30
BRU;BLL;D38;1:35;9:25;11:0
BRU;BUD;73G;1:55;9:10;11:5
BRU;HEL;320;2:30;19:20;22:50
BRU;JFK;763;8:35;10:5;12:40
BRU;LHR;319;1:15;6:45;7:0
BRU;MAD;320;2:15;12:20;14:35
BRU;ORD;763;9:20;10:40;13:0
BRU;OVD;CR2;2:0;13:50;15:50
